dim1,dim2,subject_id
4.045839,-2.4897048,1
-1.0468562,-0.1883722,2
1.14305,3.7779534,3
-0.7667068,-1.3913847,4
1.359143,3.2793355,5
3.84095,-2.5566976,6
-2.3922307,-3.130624,7
3.8260589,-2.4023035,8
-1.1792337,-3.0086958,9
-0.09143248,2.1583195,10
3.948529,-2.658332,11
1.8642427,1.092731,12
-2.6391597,0.62977326,13
-1.4387037,2.007779,14
3.1833649,-2.4703143,15
2.4429975,-2.5486329,16
0.53452575,-3.1228333,17
-3.297474,2.3984246,18
-3.6687016,2.5453749,19
-1.4218479,-2.1284251,20
-2.999794,2.845475,21
-2.5830677,2.2620862,22
-1.3386377,2.1586545,23
1.9271587,1.2949961,24
-1.1513814,-3.2442756,25
-2.6276054,-3.208188,26
-0.5895315,-1.8878312,27
3.8306887,-2.466507,28
2.9017422,-1.7588288,29
-2.8367517,-3.2008715,30
-2.2713296,-3.4405696,31
3.8144891,-2.5957892,32
-0.6227961,-1.94381,33
-1.3222523,-0.28163207,34
3.1283083,-2.3602705,35
1.4520781,1.681133,36
1.0064025,-2.7788143,37
-0.64928013,-2.8641148,38
2.4365854,0.96449786,39
-0.7479503,3.3596835,40
1.0506328,-2.789262,41
-3.2124667,2.1413796,42
-3.6650538,2.2183156,43
-1.1436262,-2.8045952,44
2.8344944,-1.2163887,45
-1.0113672,3.5117016,46
-0.4736325,0.05883071,47
0.5637195,2.8839076,48
1.6782775,2.1447234,49
0.49846545,1.3237872,50
-3.548319,2.5915258,51
-3.6867263,2.717939,52
-2.8971512,1.4154139,53
2.1725748,1.1584728,54
0.71130836,3.1071198,55
-1.4211639,-3.326287,56
2.4574187,-2.6565268,57
-1.7529627,2.119615,58
2.1782572,1.520911,59
2.2989426,-1.3172069,60
-0.051680643,-2.6368124,61
1.2936146,3.1407948,62
-1.246755,3.3367343,63
2.1669872,0.30617264,64
2.14092,0.7261722,65
-1.181565,-1.1639469,66
2.9221158,-0.59964186,67
-0.93361104,-2.7567055,68
0.8890533,3.193299,69
4.1068025,-2.6433804,70
-2.0437925,-1.3372868,71
-1.6893195,-2.6783078,72
-3.7760065,2.0385137,73
-0.16311549,-3.0335994,74
1.0632209,3.6368456,75
-1.0054754,2.8003902,76
-0.19542155,2.1267278,77
-1.40351,1.7453978,78
1.3504043,2.4136658,79
-0.36840612,3.2238283,80
-1.0980718,1.8620627,81
3.9940922,-2.407851,82
-0.06023928,3.522349,83
-2.6294115,-3.2153301,84
1.5473717,1.722157,85
-0.44864622,1.5856346,86
