dim1,dim2,problemID
0.6098416,0.26031387,1
-0.9062629,-0.76690733,2
1.6816323,0.7703947,3
-1.0690722,-0.33374813,4
-1.5487862,0.7344137,5
-1.1665815,-1.3857344,6
-2.587464,-0.82923436,7
-0.7024339,-0.24155544,8
-2.2388618,0.11071765,9
-0.8680091,-1.1627194,10
1.6351856,0.6993526,11
-2.0439901,-0.9793651,12
-1.6447927,0.6991851,13
-1.0644747,-0.15084948,14
-0.3651167,0.052508302,15
-2.1921332,-0.39158493,16
1.8470554,0.74248606,17
1.7203171,0.6918236,18
1.7203172,0.6918238,19
1.4686645,0.48646545,20
