dim1,dim2,problemID
0.16658276,-0.060759075,1
-1.8964677,0.32969385,2
2.4378324,-0.31964785,3
-1.5912578,0.043590024,4
0.44053978,-0.51337546,5
-2.0678322,0.4082894,6
-1.9251211,0.41929477,7
-1.5596696,0.43708286,8
-0.8383882,-0.037523128,9
-2.0774157,0.82630587,10
2.5445435,-0.3415943,11
-1.7533059,0.43267044,12
-0.818613,-0.44029188,13
-0.38344917,-0.049515966,14
1.4652302,-0.2912799,15
-0.018795649,0.15638573,16
2.6748998,-0.33452553,17
2.5354106,-0.3310309,18
2.5354106,-0.3310312,19
2.5844476,-0.25340262,20
